"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"alp_booltrue","Yes","Yes","Ano","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",
"alp_boolfalse","No","No","Ne","No","No","No","No","No","No","No","No","No","No","No",
"STR_menuInfoSites","Info about server","Info about server","Informace o serveru","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server","Info about server",
"STR_menuPlayerCharacter","Info about you","Info about you","Informace o tvé postavě","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you","Info about you",
"STR_koruny_description","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Neoficiální měna po globální katastrofě","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse","Unofficial currencie after global apocalypse",
"STR_koruny_name","CZK","CZK","Kč","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK","CZK",
"STR_korunyRare_description","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Zlaté 'obchodní' mince neražené pro běžný oběh","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation","Gold 'business' coins not minted for normal circulation",
"STR_korunyRare1_name","Golden ducat","Golden ducat","Zlatý dukát","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat","Golden ducat",
"STR_alp_anabolic0","Anabolic steroids","Anabolic steroids","Anabolické steroidy","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids","Anabolic steroids",
"STR_alp_anabolic1","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolické steroidy neboli anabolické androgenní steroidy jsou syntetické deriváty látky podobné mužskému hormonu testosteronu.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.","Anabolic steroids are synthetic, or human-made, variations of the male sex hormone testosterone.",
